medcodeid	originalreadcode	term	snomedctconceptid	dep
5106051000006119	^ESCTMI510605	Mild postnatal depression	237349002	depression
5106061000006117	^ESCTSE510606	Severe postnatal depression	237350002	depression
5248911000006110	^ESCTDE524891	Depression worse in morning	247801000	depression
5248931000006116	^ESCTDE524893	Depression worse later in day	247802007	depression
5359011000006112	^ESCTDE535901	Depression - motion	255339005	depression
5359021000006116	^ESCTDE535902	Depression	255339005	depression
6000711000006112	^ESCTMO600071	Moderate depression	310496002	depression
6337501000006112	^ESCTMA633750	Major depression	370143000	depression
6947121000006117	^ESCTFE694712	Feeling sad	420038007	depression
7127651000006115	^ESCTSE712765	Severe major depression, single episode, with psychotic features	430852001	depression
7788661000006119	^ESCTMO778866	Moderately severe depression	719593009	depression
7803711000006118	^ESCTMO780371	Moderately severe major depression single episode	720453001	depression
7803731000006112	^ESCTMI780373	Minimal major depression single episode	720454007	depression
7965191000006118	^ESCTSE796519	Severe recurrent major depression	281000119103	depression
7991681000006114	^ESCTPE799168	Perinatal depression	10211000132109	depression
8465321000006112	^ESCTRE846532	Reactive depression, prolonged single episode	1086661000000108	depression
13902421000006110	^ESCT1390242	Antenatal depression	788120007	depression
13962531000006113	^ESCT1396253	Follow up for depression	870191006	depression
