medcodeid	originalreadcode	term	snomedctconceptid	alco
4951321000006115	^ESCTAL495132	Alcohol-free diet	226138001	Non Drinker
4977971000006112	^ESCTDR497797	Drinks on special occasions	228276006	Light Drinker
4977991000006113	^ESCTFA497799	Fairly heavy drinker	228278007	Heavy Drinker
4978031000006111	^ESCTPR497803	Problem drinker	228281002	Heavy Drinker
4978061000006119	^ESCTDE497806	Dependent drinker	228281002	Heavy Drinker
4978281000006117	^ESCTDR497828	Drinks in company	228298002	Moderate Drinker
4978321000006111	^ESCTDR497832	Drinks with friends	228302005	Moderate Drinker
4978431000006119	^ESCTWE497843	Weekend drinker	228314002	Moderate Drinker
4978461000006111	^ESCTEP497846	Episodic drinker	228315001	Light Drinker
4978491000006115	^ESCTDA497849	Daily drinker	228319007	Moderate Drinker
4978501000006111	^ESCTDR497850	Drinks alcohol daily	228319007	Moderate Drinker
4978511000006114	^ESCTHA497851	Habitual drinker	228320001	Heavy Drinker
4978541000006113	^ESCTDR497854	Drinking bout	228323004	Heavy Drinker
4978561000006112	^ESCTHE497856	Heavy drinking session	228325006	Heavy Drinker
4978571000006117	^ESCTDR497857	Drinking binge	228326007	Heavy Drinker
4978581000006119	^ESCTAL497858	Alcohol binge	228326007	Heavy Drinker
4978591000006116	^ESCTBI497859	Binge drinking	228326007	Heavy Drinker
4978601000006112	^ESCTDR497860	Drinking day	228327003	Moderate Drinker
5689771000006115	^ESCTPE568977	Persistent alcohol abuse	284591009	Heavy Drinker
5689781000006117	^ESCTCH568978	Chronic alcohol abuse	284591009	Heavy Drinker
7706231000006114	^ESCTMI770623	Mild alcohol dependence	713583005	Moderate Drinker
7710581000006113	^ESCTSE771058	Severe alcohol dependence	713862009	Heavy Drinker
7725141000006111	^ESCTMO772514	Moderate alcohol dependence	714829008	Moderate Drinker
8088751000006117	^ESCTAL808875	Alcohol dependence with alcohol induced disorder	288031000119105	Heavy Drinker
9344021000006112	^ESCTUN934402	Unhealthy alcohol drinking behaviour	10939881000119105	Heavy Drinker
12112021000006111	^ESCT1211202	Management of alcohol intake	440671000124106	Heavy Drinker
