medcodeid	originalreadcode	term	snomedctconceptid	anxi
3810661000006112	^ESCTSE381066	Severe anxiety (panic)	80583007	anxi
3822891000006112	^ESCTFR382289	Free-floating anxiety	81350009	anxi
3950381000006113	^ESCTAN395038	Anxiety about blushing	89225005	anxi
3962111000006111	^ESCTPA396211	Panic disorder with agoraphobia AND mild panic attacks	89948007	anxi
4196231000006110	^ESCTDR419623	Dream anxiety disorder	111487009	anxi
4391041000006110	^ESCTSE439104	Separation anxiety	126943008	anxi
4767501000006113	^ESCTCH476750	Childhood phobic anxiety disorder	192611004	anxi
4937701000006118	^ESCTAC493770	Acknowledging anxiety	225216003	anxi
4944421000006114	^ESCTAN494442	Anxiety about loss of control	225637002	anxi
4944431000006112	^ESCTAN494443	Anxiety about resuming sexual relations	225638007	anxi
4944481000006113	^ESCTAN494448	Anxiety about not coping with parenthood	225642005	anxi
4944501000006115	^ESCTAN494450	Anxiety about making mistakes	225643000	anxi
4944521000006113	^ESCTAN494452	Anxiety about altered body image	225644006	anxi
5024021000006119	^ESCTSI502402	Situational panic attack	231502005	anxi
5024031000006116	^ESCTNO502403	Non-situational panic attack	231503000	anxi
5024071000006118	^ESCTAN502407	Anxiety depression	231504006	anxi
5024101000006111	^ESCTAN502410	Anxiety hysteria	231506008	anxi
5248991000006117	^ESCTAN524899	Anxiety and fear	247805009	anxi
5249061000006116	^ESCTAN524906	Anxiety about body function or health	247808006	anxi
5249071000006111	^ESCTAN524907	Anxiety about health	247808006	anxi
5249261000006112	^ESCTAN524926	Anxiety about behaviour or performance	247825008	anxi
5249271000006117	^ESCTAN524927	Anxiety about social functioning	247825008	anxi
5605231000006114	^ESCTAN560523	Anxiety about choking	277822002	anxi
5605241000006116	^ESCTAN560524	Anxiety about swallowing	277823007	anxi
5605251000006119	^ESCTAN560525	Anxiety about collapsing	277824001	anxi
5605261000006117	^ESCTAN560526	Anxiety about shaking	277825000	anxi
5605271000006112	^ESCTAN560527	Anxiety about sweating	277826004	anxi
5605281000006110	^ESCTAN560528	Anxiety about dying	277827008	anxi
5605341000006111	^ESCTAN560534	Anxiety about becoming fat	277831002	anxi
5605371000006115	^ESCTAN560537	Anxiety about fainting	277833004	anxi
5605381000006117	^ESCTAN560538	Anxiety about having a heart attack	277834005	anxi
5605411000006119	^ESCTAN560541	Anxiety about appearing ridiculous	277838008	anxi
5605421000006110	^ESCTAN560542	Anxiety about saying the wrong thing	277839000	anxi
5628441000006118	^ESCTPE562844	Performance anxiety	279622009	anxi
5886461000006119	^ESCTPA588646	Parental anxiety	300894000	anxi
5886481000006112	^ESCTAN588648	Anxiety attack	300895004	anxi
6358151000006115	^ESCTEP635815	Episodic paroxysmal anxiety disorder	371631005	anxi
6550101000006115	^ESCTCO655010	Complaining of panic attack	395017009	anxi
8103671000006118	^ESCTAN810367	Anxiety about lethargy	323341000000102	anxi
8113001000006117	^ESCTST811300	Stranger anxiety	351861000000106	anxi
9901161000006119	^ESCTMI990116	Mild major depressive disorder co-occurrent with anxiety single episode	16265951000119109	anxi
9901261000006114	^ESCTMO990126	Moderate major depressive disorder co-occurrent with anxiety single episode	16266831000119100	anxi
9901281000006116	^ESCTSE990128	Severe major depressive disorder co-occurrent with anxiety single episode	16266991000119108	anxi
12127531000006113	^ESCT1212753	Recurrent mild major depressive disorder co-occurrent with anxiety	16264621000119109	anxi
12127541000006115	^ESCT1212754	Recurrent severe major depressive disorder co-occurrent with anxiety	16264821000119108	anxi
12127551000006118	^ESCT1212755	Recurrent moderate major depressive disorder co-occurrent with anxiety	16264901000119109	anxi
12127561000006116	^ESCT1212756	Recurrent major depressive disorder co-occurrent with anxiety in full remission	16265061000119105	anxi
12127571000006111	^ESCT1212757	Recurrent major depressive disorder in partial remission co-occurrent with anxiety	16265301000119106	anxi
