medcodeid	originalreadcode	term	snomedctconceptid	psyco
424511000006112	Eu23z-2	[X]Reactive psychosis	231437006	psycosis
424551000006113	Eu333-4	[X]Recurr severe episodes/psychogenic depressive psychosis	191613003	psycosis
424681000006118	Eu333-6	Recurrent reactive depressive episodes, severe, with psychosis	1086471000000103	psycosis
425551000006112	Eu25z-1	[X]Schizoaffective psychosis NOS	68890003	psycosis
425561000006114	Eu251-1	[X]Schizoaffective psychosis, depressive type	84760002	psycosis
425571000006119	Eu250-1	[X]Schizoaffective psychosis, manic type	271428004	psycosis
425691000006119	Eu251-2	[X]Schizophreniform psychosis, depressive type	84760002	psycosis
425701000006119	Eu250-2	[X]Schizophreniform psychosis, manic type	271428004	psycosis
426951000006112	Eu323-2	[X]Single episode of psychogenic depressive psychosis	191676002	psycosis
426981000006116	Eu323-4	[X]Single episode of reactive depressive psychosis	191676002	psycosis
428441000006116	Eu843-4	[X]Symbiotic psychosis	35919005	psycosis
476741000006111	E01	Alcohol-induced psychosis	42344001	psycosis
492881000000114	212X	Psychosis resolved	285551000000108	psycosis
513701000006116	E1144	Bipolar affect disord, currently manic,severe with psychosis	191623007	psycosis
513721000006114	E1154	Bipolar affect disord, now depressed, severe with psychosis	765176007	psycosis
612521000006115	E030-1	Delirium - acute organic	2776000	psycosis
612531000006117	E031-1	Delirium - subacute organic	191507002	psycosis
630831000006113	E02	Drug psychosis	191483003	psycosis
753331000006118	E0110	Korsakov alcoholic psychosis	69482004	psycosis
853201000006116	EGTON118	Obsessional compulsive psychosis	853201000006100	psycosis
882251000006117	E03y3-99	Puerperal psychosis	551591000000100	psycosis
882301000006112	E107-99	Acute schizo affective psychosis	191567000	psycosis
914471000006113	Eu221	[X]Delusional misidentification syndrome	44906001	psycosis
980131000006112	Eu1A4	[X]Ment behav dis due crack cocaine: withdraw state delirium	404684003	psycosis
981141000006111	EMISCDE13	Delusions	981141000006107	psycosis
1667591000000111	Eu26	[X]Nonorganic psychosis in remission	755311000000100	psycosis
1755901000006112	Eu329	[X]Single major depressive episode, severe, with psychosis, psychosis in remission	755321000000106	psycosis
1755911000006110	Eu32A	[X]Recurrent major depressive episodes, severe, with psychosis, psychosis in remission	755331000000108	psycosis
1821481000006114	JHCPO1	Possible early psychosis	1821481000006105	psycosis
1821491000006112	JHCPO2	Possible psychosis prodrome	1821491000006108	psycosis
1971451000006110	EMISICD10|F1140	Men & behav dis due opioid: withdrawl state with delirium, without convulsions	1971451000006106	psycosis
1971461000006112	EMISICD10|F1141	Men & behav dis due opioid: withdrawl state with delirium, with convulsions	1971461000006108	psycosis
1973861000006111	EMISICD10|F1951	Ment/behav dis mlti drug use/oth psyc sbs: psychotc dis, predominantly delusional	1973861000006107	psycosis
1975761000006119	EMISICD10|F2330	Other acute predominantly delusional psychotic disorders, without associated acute stress	1975761000006103	psycosis
1975781000006112	EMISICD10|F2331	Other acute predominantly delusional psychotic disorders, with associated acute stress	1975781000006108	psycosis
2502001000006113	^ESCTPE250200	Persecutory delusion	216004	psycosis
2531671000006114	^ESCTDE253167	Delusional thoughts	2073000	psycosis
2531681000006112	^ESCTDE253168	Delusional ideas	2073000	psycosis
2632941000006110	^ESCTDE263294	Delusion of infidelity	8330006	psycosis
2730111000000111	^ESCT1171787	Acute predominantly delusional psychotic disorder	1089691000000105	psycosis
3036131000006117	^ESCTSO303613	Somatic delusion disorder	33323008	psycosis
3504751000006114	^ESCTIN350475	Induced psychosis	61831009	psycosis
3549101000006116	^ESCTDE354910	Delusional perception	64514005	psycosis
3627341000006115	^ESCTPS362734	Psychosis	69322001	psycosis
3630121000006110	^ESCTKO363012	Korsakoff psychosis	69482004	psycosis
3630151000006118	^ESCTKO363015	Korsakov psychosis	69482004	psycosis
3760411000006111	^ESCTJE376041	Jealous delusion disorder	77475008	psycosis
3956691000006118	^ESCTPE395669	Persecutory delusion disorder	89618007	psycosis
3959871000006110	^ESCTDE395987	Delusion of parasitosis	89809008	psycosis
4763081000006118	^ESCTSE476308	Senile delirium	191461002	psycosis
4763211000006118	^ESCTDR476321	Drug-induced psychosis	191483003	psycosis
4763231000006112	^ESCTDR476323	Drug induced psychosis	191483003	psycosis
4763311000006110	^ESCTDR476331	Drug induced delirium	191492000	psycosis
4763441000006118	^ESCTSU476344	Subacute delirium	191507002	psycosis
4764511000006119	^ESCTPS476451	Psychosis with origin in childhood	191687005	psycosis
4941461000006118	^ESCTPA494146	Paranoid delusion	225452001	psycosis
5023421000006112	^ESCTDE502342	Delirium of mixed origin	231440006	psycosis
5023531000006114	^ESCTEP502353	Epileptic psychosis	231449007	psycosis
5106071000006112	^ESCTMI510607	Mild postnatal psychosis	237351003	psycosis
5106081000006110	^ESCTSE510608	Severe postnatal psychosis	237352005	psycosis
5128641000006117	^ESCTDE512864	Delusions of parasitosis	238973003	psycosis
5128651000006115	^ESCTDE512865	Delusions of infestation	238974009	psycosis
5128661000006118	^ESCTDE512866	Delusion of foul odour	238975005	psycosis
5128691000006114	^ESCTDE512869	Delusional hyperhidrosis	238977002	psycosis
5247201000006118	^ESCTRE524720	Religious delusion	247671004	psycosis
5247211000006115	^ESCTDE524721	Delusional mood	247672006	psycosis
5517971000006118	^ESCTMI551797	Mixed schizophrenic and affective psychosis	270901009	psycosis
5582571000006113	^ESCTPR558257	Primary delusions	276243003	psycosis
5614141000006110	^ESCTDE561414	Delusional dysmorphophobia	278508007	psycosis
6515001000006117	^ESCTEA651500	Early intervention in psychosis	390815004	psycosis
6519941000006116	^ESCTEA651994	Early intervention in psychosis - <1 contact/month	391190003	psycosis
6705171000006111	^ESCTPO670517	Postoperative delirium	404906000	psycosis
7018741000006112	^ESCTDE701874	Delusion of pregnancy	424040008	psycosis
7515091000006113	^ESCTDE751509	Delusional disorder in remission	698951002	psycosis
7790241000006117	^ESCTPS779024	Psychosis co-occurrent and due to Parkinson's disease	719717006	psycosis
8044911000006116	^ESCTDE804491	Delusions in Alzheimer's disease	141991000119109	psycosis
8044981000006111	^ESCTAL804498	Alzheimer's disease co-occurrent with delirium	142011000119109	psycosis
8089301000006110	^ESCTRE808930	Reactive depressive psychosis, single episode	288751000119101	psycosis
8232541000006114	^ESCTNO823254	Non-organic psychosis in remission	755311000000100	psycosis
8232571000006118	^ESCTSI823257	Single major depressive episode, severe, with psychosis, psychosis in remission	755321000000106	psycosis
8232591000006117	^ESCTRE823259	Recurrent major depressive episodes, severe, with psychosis, psychosis in remission	755331000000108	psycosis
8342781000006115	^ESCTPS834278	Psychoactive substance-induced psychosis	943121000000104	psycosis
12736721000006110	^ESCT1273672	FEP - first episode psychosis	1127191000000108	psycosis
