prodcodeid,termfromemis,drugsubstancename,bnfchapter,aceinhib
998541000033110,Odrik 1mg capsules (Aventis Pharma),Trandolapril,,1
998641000033111,Odrik 2mg capsules (Aventis Pharma),Trandolapril,,1
998741000033119,Odrik 500microgram capsules (Aventis Pharma),Trandolapril,,1
1065941000033115,Perdix 15mg tablets (UCB Pharma Ltd),Moexipril hydrochloride,2050501,1
1066041000033113,Perdix 7.5mg tablets (UCB Pharma Ltd),Moexipril hydrochloride,2050501,1
1067841000033115,Perindopril erbumine 2mg tablets,Perindopril erbumine,2050501,1
1067941000033111,Perindopril erbumine 4mg tablets,Perindopril erbumine,2050501,1
1149241000033111,Quinapril 5mg tablets,Quinapril hydrochloride,2050501,1
1149341000033118,Quinapril 10mg tablets,Quinapril hydrochloride,2050501,1
1149441000033112,Quinapril 20mg tablets,Quinapril hydrochloride,2050501,1
1149541000033113,Quinapril 40mg tablets,Quinapril hydrochloride,2050501,1
1151341000033117,Ramipril 1.25mg capsules,Ramipril,2050501,1
1151441000033111,Ramipril 2.5mg capsules,Ramipril,2050501,1
1151541000033112,Ramipril 5mg capsules,Ramipril,2050501,1
1387341000033114,Staril 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Fosinopril sodium,,1
1387441000033115,Staril 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Fosinopril sodium,,1
1406341000033117,Tarka modified-release capsules (Abbott Laboratories Ltd),Trandolapril/ Verapamil hydrochloride,,1
1453941000033115,Trandolapril 1mg capsules,Trandolapril,2050501,1
1454041000033118,Trandolapril 2mg capsules,Trandolapril,2050501,1
1454141000033119,Trandolapril 500microgram capsules,Trandolapril,2050501,1
1455541000033110,Tritace 1.25mg capsules (Aventis Pharma),Ramipril,2050501,1
1455641000033111,Tritace 2.5mg capsules (Sanofi),Ramipril,2050501,1
1455741000033119,Tritace 5mg capsules (Sanofi),Ramipril,2050501,1
1498241000033111,Valsartan 160mg capsules,Valsartan,2050502,1
1498341000033118,Valsartan 40mg capsules,Valsartan,2050502,1
1498441000033112,Valsartan 80mg capsules,Valsartan,2050502,1
1503441000033113,Vascace 5mg tablets (Roche Products Ltd),Cilazapril monohydrate,,1
1504641000033112,Vascace 1mg tablets (Roche Products Ltd),Cilazapril monohydrate,,1
1504741000033115,Vascace 2.5mg tablets (Roche Products Ltd),Cilazapril monohydrate,,1
1504941000033117,Vascace 500microgram tablets (Roche Products Ltd),Cilazapril monohydrate,,1
1551841000033118,Zestoretic 10 tablets (AstraZeneca UK Ltd),Hydrochlorothiazide/ Lisinopril,2050501,1
1551941000033114,Zestril 10mg tablets (AstraZeneca UK Ltd),Lisinopril,2050501,1
1552041000033115,Zestril 2.5mg tablets (AstraZeneca UK Ltd),Lisinopril,2050501,1
1552141000033116,Zestril 20mg tablets (AstraZeneca UK Ltd),Lisinopril,2050501,1
1552241000033111,Zestril 5mg tablets (AstraZeneca UK Ltd),Lisinopril,2050501,1
1552341000033118,Zestoretic 20 tablets (AstraZeneca UK Ltd),Hydrochlorothiazide/ Lisinopril,2050501,1
1622041000033110,Kaplon 12.5mg tablets (Teva UK Ltd),Captopril,2050501,1
1622141000033114,Kaplon 25mg tablets (Teva UK Ltd),Captopril,2050501,1
1622241000033119,Kaplon 50mg tablets (Teva UK Ltd),Captopril,2050501,1
1739741000033112,Imidapril 10mg tablets,Imidapril hydrochloride,2050501,1
1739841000033119,Imidapril 5mg tablets,Imidapril hydrochloride,2050501,1
1753841000033118,Tanatril 10mg tablets (Northumbria Pharma Ltd),Imidapril hydrochloride,2050501,1
1753941000033114,Tanatril 5mg tablets (Northumbria Pharma Ltd),Imidapril hydrochloride,2050501,1
1769841000033111,Ramipril 10mg capsules,Ramipril,2050501,1
1769941000033115,Tritace 10mg capsules (Sanofi),Ramipril,2050501,1
1834341000033110,Triapin 5mg/5mg modified-release tablets (Sanofi),Felodipine/ Ramipril,2050501,1
1849541000033118,Telmisartan 40mg tablets,Telmisartan,2050502,1
1849641000033117,Telmisartan 80mg tablets,Telmisartan,2050502,1
1849741000033114,Micardis 40mg tablets (Boehringer Ingelheim Ltd),Telmisartan,2050502,1
1849841000033116,Micardis 80mg tablets (Boehringer Ingelheim Ltd),Telmisartan,2050502,1
1893141000033119,Co-zidocapt 12.5mg/25mg tablets,Captopril/ Hydrochlorothiazide,2050501,1
1893241000033114,Co-zidocapt 25mg/50mg tablets,Captopril/ Hydrochlorothiazide,2050501,1
1918641000033112,Pralenal 2.5 tablets (Opus Pharmaceuticals Ltd),Enalapril maleate,2050501,1
1918741000033115,Pralenal 5 tablets (Opus Pharmaceuticals Ltd),Enalapril maleate,2050501,1
1918841000033113,Pralenal 10 tablets (Opus Pharmaceuticals Ltd),Enalapril maleate,2050501,1
1918941000033117,Pralenal 20 tablets (Opus Pharmaceuticals Ltd),Enalapril maleate,2050501,1
2036341000033115,Eprosartan 300mg tablets,Eprosartan mesilate,2050502,1
2036441000033114,Eprosartan 400mg tablets,Eprosartan mesilate,2050502,1
2036541000033110,Eprosartan 600mg tablets,Eprosartan mesilate,2050502,1
2040841000033113,Teveten 300mg tablets (Viatris UK Healthcare Ltd),Eprosartan mesilate,2050502,1
2040941000033117,Teveten 400mg tablets (Abbott Healthcare Products Ltd),Eprosartan mesilate,2050502,1
2041041000033110,Teveten 600mg tablets (Viatris UK Healthcare Ltd),Eprosartan mesilate,2050502,1
2145741000033116,Tanatril 20mg tablets (Northumbria Pharma Ltd),Imidapril hydrochloride,2050501,1
2145841000033114,Imidapril 20mg tablets,Imidapril hydrochloride,2050501,1
2216141000033115,CoAprovel 150mg/12.5mg tablets (Sanofi),Hydrochlorothiazide/ Irbesartan,2050502,1
2216241000033110,CoAprovel 300mg/12.5mg tablets (Sanofi),Hydrochlorothiazide/ Irbesartan,2050502,1
2272641000033119,Telmisartan 20mg tablets,Telmisartan,2050502,1
2272741000033111,Micardis 20mg tablets (Boehringer Ingelheim Ltd),Telmisartan,2050502,1
2656341000033110,Captopril 5mg/5ml oral suspension,Captopril,,1
2719841000033113,Captopril 20mg/5ml oral suspension,Captopril,,1
2720141000033115,Losartan 100mg tablets,Losartan potassium,2050502,1
2720241000033110,Cozaar 100mg tablets (Organon Pharma (UK) Ltd),Losartan potassium,2050502,1
2724541000033115,"Ramipril Titration pack 7 x 2.5 mg, 21 x 5 mg, 7 x 10 mg",,,1
2724641000033119,Tritace titration pack capsules (Sanofi),,2050501,1
2739541000033117,Coversyl Plus tablets (Servier Laboratories Ltd),Indapamide/ Perindopril erbumine,2050501,1
2846641000033111,Coversyl 8mg tablets (Servier Laboratories Ltd),Perindopril erbumine,2050501,1
2846741000033119,Perindopril erbumine 8mg tablets,Perindopril erbumine,2050501,1
2864241000033110,MicardisPlus 40mg/12.5mg tablets (Boehringer Ingelheim Ltd),Hydrochlorothiazide/ Telmisartan,2050502,1
2864341000033117,MicardisPlus 80mg/12.5mg tablets (Boehringer Ingelheim Ltd),Hydrochlorothiazide/ Telmisartan,2050502,1
2883341000033118,Ramipril 5mg/5ml oral suspension,Ramipril,,1
2928341000033114,Tensopril 12.5mg tablets (Teva UK Ltd),Captopril,2050501,1
2928441000033115,Tensopril 25mg tablets (Teva UK Ltd),Captopril,2050501,1
2928541000033119,Tensopril 50mg tablets (Teva UK Ltd),Captopril,2050501,1
2944541000033111,Olmesartan medoxomil 10mg tablets,Olmesartan medoxomil,2050502,1
2944641000033112,Olmesartan medoxomil 20mg tablets,Olmesartan medoxomil,2050502,1
2944741000033115,Olmesartan medoxomil 40mg tablets,Olmesartan medoxomil,2050502,1
2944841000033113,Olmetec 10mg tablets (Daiichi Sankyo UK Ltd),Olmesartan medoxomil,2050502,1
2944941000033117,Olmetec 20mg tablets (Daiichi Sankyo UK Ltd),Olmesartan medoxomil,2050502,1
2945041000033117,Olmetec 40mg tablets (Daiichi Sankyo UK Ltd),Olmesartan medoxomil,2050502,1
2945841000033112,Ecopace 12.5mg tablets (Advanz Pharma),Captopril,2050501,1
2945941000033116,Ecopace 25mg tablets (Advanz Pharma),Captopril,2050501,1
2946041000033114,Ecopace 50mg tablets (Advanz Pharma),Captopril,2050501,1
2989541000033115,Ramipril 1.25mg tablets,Ramipril,2050501,1
2989641000033119,Ramipril 2.5mg tablets,Ramipril,2050501,1
2989741000033111,Ramipril 5mg tablets,Ramipril,2050501,1
2989841000033118,Ramipril 10mg tablets,Ramipril,2050501,1
2989941000033114,Tritace 1.25mg tablets (Sanofi),Ramipril,2050501,1
2990041000033116,Tritace 2.5mg tablets (Sanofi),Ramipril,2050501,1
2990141000033117,Tritace 5mg tablets (Sanofi),Ramipril,2050501,1
2990241000033112,Tritace 10mg tablets (Sanofi),Ramipril,2050501,1
3012741000033115,Captopril 25mg/5ml oral solution,Captopril,,1
3014741000033111,Trandolapril 4mg capsules,Trandolapril,2050501,1
3014841000033118,Gopten 4mg capsules (Abbott Laboratories Ltd),Trandolapril,,1
3136041000033117,Caralpha 10mg/12.5mg tablets (Actavis UK Ltd),Hydrochlorothiazide/ Lisinopril,,1
3136141000033118,Caralpha 20mg/12.5mg tablets (Actavis UK Ltd),Hydrochlorothiazide/ Lisinopril,,1
3152141000033115,Lisinopril 5mg/5ml oral suspension,Lisinopril,,1
3152541000033112,Co-Diovan 160mg/12.5mg tablets (Novartis Pharmaceuticals UK Ltd),Hydrochlorothiazide/ Valsartan,2050502,1
3152641000033113,Co-Diovan 160mg/25mg tablets (Novartis Pharmaceuticals UK Ltd),Hydrochlorothiazide/ Valsartan,2050502,1
3159741000033111,Lopace 2.5mg capsules (Discovery Pharmaceuticals),Ramipril,2050501,1
3159841000033118,Lopace 5mg capsules (Discovery Pharmaceuticals),Ramipril,2050501,1
3159941000033114,Lopace 10mg capsules (Discovery Pharmaceuticals),Ramipril,2050501,1
3160641000033118,Quinapril 10mg / Hydrochlorothiazide 12.5mg tablets,Hydrochlorothiazide/ Quinapril hydrochloride,2050501,1
3160841000033117,Lisinopril 10mg / Hydrochlorothiazide 12.5mg tablets,Hydrochlorothiazide/ Lisinopril,2050501,1
3160941000033113,Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets,Hydrochlorothiazide/ Lisinopril,2050501,1
3161141000033116,Irbesartan 150mg / Hydrochlorothiazide 12.5mg tablets,Hydrochlorothiazide/ Irbesartan,2050502,1
3161241000033111,Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets,Hydrochlorothiazide/ Irbesartan,2050502,1
3161441000033112,Valsartan 160mg / Hydrochlorothiazide 12.5mg tablets,Hydrochlorothiazide/ Valsartan,2050502,1
3161541000033113,Valsartan 160mg / Hydrochlorothiazide 25mg tablets,Hydrochlorothiazide/ Valsartan,2050502,1
3161641000033114,Perindopril erbumine 4mg / Indapamide 1.25mg tablets,Indapamide/ Perindopril erbumine,2050501,1
3161741000033117,Losartan 50mg / Hydrochlorothiazide 12.5mg tablets,Hydrochlorothiazide/ Losartan potassium,2050502,1
3162241000033117,Enalapril 20mg / Hydrochlorothiazide 12.5mg tablets,Enalapril maleate/ Hydrochlorothiazide,2050501,1
3162641000033119,Telmisartan 40mg / Hydrochlorothiazide 12.5mg tablets,Hydrochlorothiazide/ Telmisartan,2050502,1
3162741000033111,Telmisartan 80mg / Hydrochlorothiazide 12.5mg tablets,Hydrochlorothiazide/ Telmisartan,2050502,1
3163041000033116,Verapamil 180mg modified-release / Trandolapril 2mg capsules,Trandolapril/ Verapamil hydrochloride,,1
3163241000033112,Felodipine 5mg modified-release / Ramipril 5mg tablets,Felodipine/ Ramipril,2050501,1
3163341000033119,Felodipine 2.5mg modified-release / Ramipril 2.5mg tablets,Felodipine/ Ramipril,2050501,1
3190741000033112,Valsartan 80mg / Hydrochlorothiazide 12.5mg tablets,Hydrochlorothiazide/ Valsartan,2050502,1
3190841000033119,Co-Diovan 80mg/12.5mg tablets (Novartis Pharmaceuticals UK Ltd),Hydrochlorothiazide/ Valsartan,2050502,1
3201341000033115,Valsartan 40mg tablets,Valsartan,2050502,1
3201441000033114,Diovan 40mg tablets (Novartis Pharmaceuticals UK Ltd),Valsartan,2050502,1
3227241000033111,Candesartan 32mg tablets,Candesartan cilexetil,,1
3227341000033118,Amias 32mg tablets (Neon Healthcare Ltd),Candesartan cilexetil,,1
3279241000033117,Enalapril 5mg/5ml oral suspension sugar free,Enalapril maleate,,1
3279541000033115,Lisicostad 10mg/12.5mg tablets (Genus Pharmaceuticals Ltd),Hydrochlorothiazide/ Lisinopril,2050501,1
3279641000033119,Lisicostad 20mg/12.5mg tablets (Genus Pharmaceuticals Ltd),Hydrochlorothiazide/ Lisinopril,2050501,1
3283141000033118,Quinil 5mg tablets (Tillomed Laboratories Ltd),Quinapril hydrochloride,,1
3333941000033117,Captopril 8mg/5ml oral suspension,Captopril,,1
3346841000033117,Losartan 100mg / Hydrochlorothiazide 25mg tablets,Hydrochlorothiazide/ Losartan potassium,,1
3346941000033113,Cozaar-Comp 100mg/25mg tablets (Organon Pharma (UK) Ltd),Hydrochlorothiazide/ Losartan potassium,,1
3851341000033117,Captopril 3mg/5ml oral solution,Captopril,,1
3890041000033117,Ramipril Powder For Oral Suspension With Diluent (Kit) 10 mg/5 ml,,,1
3908941000033112,Olmesartan medoxomil 20mg / Hydrochlorothiazide 12.5mg tablets,Hydrochlorothiazide/ Olmesartan medoxomil,2050502,1
3909041000033115,Olmesartan medoxomil 20mg / Hydrochlorothiazide 25mg tablets,Hydrochlorothiazide/ Olmesartan medoxomil,2050502,1
3909141000033116,Olmetec Plus 20mg/12.5mg tablets (Daiichi Sankyo UK Ltd),Hydrochlorothiazide/ Olmesartan medoxomil,2050502,1
3909241000033111,Olmetec Plus 20mg/25mg tablets (Daiichi Sankyo UK Ltd),Hydrochlorothiazide/ Olmesartan medoxomil,2050502,1
3940841000033110,Captopril 2mg capsules,Captopril,,1
3995241000033112,Irbesartan 300mg / Hydrochlorothiazide 25mg tablets,Hydrochlorothiazide/ Irbesartan,,1
3995341000033119,CoAprovel 300mg/25mg tablets (Sanofi),Hydrochlorothiazide/ Irbesartan,,1
4021441000033114,Amlodipine 5mg / Valsartan 80mg tablets,Amlodipine besilate/ Valsartan,2060200,1
4021541000033110,Amlodipine 5mg / Valsartan 160mg tablets,Amlodipine besilate/ Valsartan,2060200,1
4021641000033111,Amlodipine 10mg / Valsartan 160mg tablets,Amlodipine besilate/ Valsartan,2060200,1
4021741000033119,Exforge 5mg/80mg tablets (Novartis Pharmaceuticals UK Ltd),Amlodipine besilate/ Valsartan,2060200,1
4021841000033112,Exforge 5mg/160mg tablets (Novartis Pharmaceuticals UK Ltd),Amlodipine besilate/ Valsartan,2060200,1
4021941000033116,Exforge 10mg/160mg tablets (Novartis Pharmaceuticals UK Ltd),Amlodipine besilate/ Valsartan,2060200,1
4152241000033113,Ramipril 1.25mg/5ml oral suspension,Ramipril,,1
4153041000033114,Perindopril Oral suspension 8 mg/5 ml,,,1
4213641000033112,Aliskiren 150mg tablets,Aliskiren hemifumarate,2050503,1
4213741000033115,Aliskiren 300mg tablets,Aliskiren hemifumarate,2050503,1
4213841000033113,Rasilez 150mg tablets (Noden Pharma DAC),Aliskiren hemifumarate,2050503,1
4213941000033117,Rasilez 300mg tablets (Noden Pharma DAC),Aliskiren hemifumarate,2050503,1
4273241000033118,Olmesartan medoxomil 10mg/5ml oral suspension,Olmesartan medoxomil,,1
4424741000033110,Losartan 100mg / Hydrochlorothiazide 12.5mg tablets,Hydrochlorothiazide/ Losartan potassium,,1
4424841000033117,Cozaar-Comp 100mg/12.5mg tablets (Organon Pharma (UK) Ltd),Hydrochlorothiazide/ Losartan potassium,,1
4424941000033113,Valsartan 320mg tablets,Valsartan,,1
4425041000033113,Diovan 320mg tablets (Novartis Pharmaceuticals UK Ltd),Valsartan,,1
4453941000033114,Perindopril arginine 2.5mg tablets,Perindopril arginine,2050501,1
4454041000033111,Perindopril arginine 5mg tablets,Perindopril arginine,2050501,1
4454141000033110,Perindopril arginine 10mg tablets,Perindopril arginine,2050501,1
4454241000033115,Coversyl Arginine 2.5mg tablets (Servier Laboratories Ltd),Perindopril arginine,2050501,1
4454341000033113,Coversyl Arginine 5mg tablets (Servier Laboratories Ltd),Perindopril arginine,2050501,1
4454441000033119,Coversyl Arginine 10mg tablets (Servier Laboratories Ltd),Perindopril arginine,2050501,1
4454541000033118,Perindopril arginine 5mg / Indapamide 1.25mg tablets,Indapamide/ Perindopril arginine,2050501,1
4454641000033117,Coversyl Arginine Plus 5mg/1.25mg tablets (Servier Laboratories Ltd),Indapamide/ Perindopril arginine,2050501,1
4548741000033111,Telmisartan 80mg / Hydrochlorothiazide 25mg tablets,Hydrochlorothiazide/ Telmisartan,,1
4548841000033118,MicardisPlus 80mg/25mg tablets (Boehringer Ingelheim Ltd),Hydrochlorothiazide/ Telmisartan,,1
4805941000033114,Ramipril 2.5mg/5ml oral suspension,Ramipril,,1
4954341000033111,Irbesartan 300mg/5ml oral suspension,Irbesartan,,1
4957541000033114,Losartan 12.5mg tablets,Losartan potassium,,1
4957641000033110,Cozaar 12.5mg tablets (Organon Pharma (UK) Ltd),Losartan potassium,,1
5005841000033114,Olmesartan medoxomil 20mg / Amlodipine 5mg tablets,Amlodipine besilate/ Olmesartan medoxomil,2050502,1
5005941000033118,Olmesartan medoxomil 40mg / Amlodipine 5mg tablets,Amlodipine besilate/ Olmesartan medoxomil,2050502,1
5006041000033111,Olmesartan medoxomil 40mg / Amlodipine 10mg tablets,Amlodipine besilate/ Olmesartan medoxomil,2050502,1
5006141000033110,Sevikar 20mg/5mg tablets (Daiichi Sankyo UK Ltd),Amlodipine besilate/ Olmesartan medoxomil,2050502,1
5006241000033115,Sevikar 40mg/5mg tablets (Daiichi Sankyo UK Ltd),Amlodipine besilate/ Olmesartan medoxomil,2050502,1
5006341000033113,Sevikar 40mg/10mg tablets (Daiichi Sankyo UK Ltd),Amlodipine besilate/ Olmesartan medoxomil,2050502,1
5008141000033111,Captopril 10mg/5ml oral suspension,Captopril,,1
5132041000033112,Captopril 25mg/5ml oral suspension,Captopril,,1
5149941000033118,Losartan 2.5mg/ml oral suspension sugar free,Losartan potassium,2050502,1
5150041000033110,Cozaar 2.5mg/ml oral suspension (Organon Pharma (UK) Ltd),Losartan potassium,2050502,1
5401641000033118,Captopril 15mg/5ml oral suspension,Captopril,,1
5454041000033117,Captopril 4mg capsules,Captopril,,1
5566341000033111,Olmesartan medoxomil 40mg / Hydrochlorothiazide 12.5mg tablets,Hydrochlorothiazide/ Olmesartan medoxomil,,1
5566441000033117,Olmetec Plus 40mg/12.5mg tablets (Daiichi Sankyo UK Ltd),Hydrochlorothiazide/ Olmesartan medoxomil,,1
5568741000033113,Lisinopril 40mg/5ml oral suspension,Lisinopril,,1
5595341000033117,Captopril Oral Suspension Sugar Free 2 mg/ml,,,1
5887841000033118,Ramipril 10mg/5ml oral solution,Ramipril,,1
5887941000033114,Ramipril 10mg/5ml oral suspension,Ramipril,,1
5888241000033116,Perindopril Oral suspension 4 mg/5 ml,,,1
5890241000033117,Lisinopril 5mg/5ml oral solution,Lisinopril,,1
5890341000033110,Ramipril 5mg/5ml oral solution,Ramipril,,1
5890541000033115,Ramipril 2.5mg/5ml oral solution,Ramipril,,1
5898741000033114,Captopril 12.5mg/5ml oral solution,Captopril,,1
5898841000033116,Captopril 12.5mg/5ml oral suspension,Captopril,,1
5898941000033112,Captopril 6.25mg/5ml oral solution,Captopril,,1
5899041000033115,Captopril 6.25mg/5ml oral suspension,Captopril,,1
5967041000033117,Enalapril 10mg/5ml oral solution,Enalapril maleate,,1
5967141000033118,Enalapril 10mg/5ml oral suspension,Enalapril maleate,,1
5970641000033117,Irbesartan 150mg/5ml oral suspension,Irbesartan,,1
5971341000033117,Lisinopril 2.5mg/5ml oral solution,Lisinopril,,1
5971441000033111,Lisinopril 2.5mg/5ml oral suspension,Lisinopril,,1
5971541000033112,Lisinopril 7.5mg/5ml oral solution,Lisinopril,,1
5971641000033113,Lisinopril 7.5mg/5ml oral suspension,Lisinopril,,1
5971741000033116,Losartan 100mg/5ml oral solution,Losartan potassium,,1
5971841000033114,Losartan 100mg/5ml oral suspension,Losartan potassium,,1
5971941000033118,Losartan 50mg/5ml oral solution,Losartan potassium,,1
5972041000033112,Losartan 50mg/5ml oral suspension,Losartan potassium,,1
5992541000033111,Enalapril 5mg/5ml oral solution,Enalapril maleate,,1
5992641000033112,Enalapril 5mg/5ml oral suspension,Enalapril maleate,,1
5997541000033113,Perindopril Oral solution 8 mg/5 ml,,,1
5998241000033112,Ramipril 1.25mg/5ml oral solution,Ramipril,,1
6001041000033115,Captopril 5mg/5ml oral solution,Captopril,,1
