medcodeid	originalreadcode	term	snomedctconceptid	schiz
1974611000006114	EMISICD10|F2011	Hebephrenic schizophrenia, episodic with progressive deficit	1974611000006105	schizaphrenia
1974621000006118	EMISICD10|F2012	Hebephrenic schizophrenia, episodic with stable deficit	1974621000006102	schizaphrenia
1974641000006113	EMISICD10|F2013	Hebephrenic schizophrenia, episodic remittent	1974641000006109	schizaphrenia
1974671000006117	EMISICD10|F2014	Hebephrenic schizophrenia, incomplete remission	1974671000006101	schizaphrenia
1974691000006116	EMISICD10|F2015	Hebephrenic schizophrenia, complete remission	1974691000006100	schizaphrenia
1974721000006114	EMISICD10|F2019	Hebephrenic schizophrenia, course uncertain, period of observation too short	1974721000006105	schizaphrenia
1974751000006117	EMISICD10|F2020	Catatonic schizophrenia, continuous	1974751000006101	schizaphrenia
1974781000006113	EMISICD10|F2021	Catatonic schizophrenia, episodic with progressive deficit	1974781000006109	schizaphrenia
1974801000006112	EMISICD10|F2022	Catatonic schizophrenia, episodic with stable deficit	1974801000006108	schizaphrenia
1974831000006116	EMISICD10|F2023	Catatonic schizophrenia, episodic remittent	1974831000006100	schizaphrenia
1974861000006113	EMISICD10|F2024	Catatonic schizophrenia, incomplete remission	1974861000006109	schizaphrenia
1974891000006117	EMISICD10|F2025	Catatonic schizophrenia, complete remission	1974891000006101	schizaphrenia
1974921000006111	EMISICD10|F2029	Catatonic schizophrenia, course uncertain, period of observation too short	1974921000006107	schizaphrenia
1975051000006119	EMISICD10|F2034	Undifferentiated schizophrenia, incomplete remission	1975051000006103	schizaphrenia
1975351000006117	EMISICD10|F2050	Residual schizophrenia, continuous	1975351000006101	schizaphrenia
1975381000006113	EMISICD10|F2051	Residual schizophrenia, episodic with progressive deficit	1975381000006109	schizaphrenia
1975401000006113	EMISICD10|F2052	Residual schizophrenia, episodic with stable deficit	1975401000006109	schizaphrenia
1975431000006117	EMISICD10|F2053	Residual schizophrenia, episodic remittent	1975431000006101	schizaphrenia
1975441000006110	EMISICD10|F2054	Residual schizophrenia, incomplete remission	1975441000006106	schizaphrenia
1975471000006119	EMISICD10|F2055	Residual schizophrenia, complete remission	1975471000006103	schizaphrenia
1975481000006116	EMISICD10|F2059	Residual schizophrenia, course uncertain, period of observation too short	1975481000006100	schizaphrenia
1975491000006118	EMISICD10|F2060	Simple schizophrenia, continuous	1975491000006102	schizaphrenia
1975501000006114	EMISICD10|F2061	Simple schizophrenia, episodic with progressive deficit	1975501000006105	schizaphrenia
1975521000006116	EMISICD10|F2062	Simple schizophrenia, episodic with stable deficit	1975521000006100	schizaphrenia
1975551000006113	EMISICD10|F2063	Simple schizophrenia, episodic remittent	1975551000006109	schizaphrenia
1975571000006115	EMISICD10|F2064	Simple schizophrenia, incomplete remission	1975571000006104	schizaphrenia
1975601000006110	EMISICD10|F2065	Simple schizophrenia, complete remission	1975601000006106	schizaphrenia
1975641000006112	EMISICD10|F2069	Simple schizophrenia, course uncertain, period of observation too short	1975641000006108	schizaphrenia
1975751000006116	EMISICD10|F2080	Other schizophrenia, continuous	1975751000006100	schizaphrenia
1975771000006114	EMISICD10|F2081	Other schizophrenia, episodic with progressive deficit	1975771000006105	schizaphrenia
1975801000006111	EMISICD10|F2082	Other schizophrenia, episodic with stable deficit	1975801000006107	schizaphrenia
1975831000006115	EMISICD10|F2083	Other schizophrenia, episodic remittent	1975831000006104	schizaphrenia
1975841000006113	EMISICD10|F2084	Other schizophrenia, incomplete remission	1975841000006109	schizaphrenia
1975881000006119	EMISICD10|F2085	Other schizophrenia, complete remission	1975881000006103	schizaphrenia
1975911000006119	EMISICD10|F2089	Other schizophrenia, course uncertain, period of observation too short	1975911000006103	schizaphrenia
1976001000006113	EMISICD10|F2090	Schizophrenia, unspecified, continuous	1976001000006109	schizaphrenia
1976061000006114	EMISICD10|F2091	Schizophrenia, unspecified, episodic with progressive deficit	1976061000006105	schizaphrenia
1976101000006112	EMISICD10|F2092	Schizophrenia, unspecified, episodic with stable deficit	1976101000006108	schizaphrenia
1976121000006119	EMISICD10|F2093	Schizophrenia, unspecified, episodic remittent	1976121000006103	schizaphrenia
1976141000006114	EMISICD10|F2094	Schizophrenia, unspecified, incomplete remission	1976141000006105	schizaphrenia
1976151000006111	EMISICD10|F2095	Schizophrenia, unspecified, complete remission	1976151000006107	schizaphrenia
1976171000006118	EMISICD10|F2099	Schizophrenia, unspecified, course uncertain, period of observation too short	1976171000006102	schizaphrenia
1976881000006112	EMISICD10|F2008	Paranoid schizophrenia, other	1976881000006108	schizaphrenia
1976891000006110	EMISICD10|F2018	Hebephrenic schizophrenia, other	1976891000006106	schizaphrenia
1976901000006114	EMISICD10|F2028	Catatonic schizophrenia, other	1976901000006105	schizaphrenia
1976911000006112	EMISICD10|F2038	Undifferentiated schizophrenia, other	1976911000006108	schizaphrenia
1976931000006118	EMISICD10|F2058	Residual schizophrenia, other	1976931000006102	schizaphrenia
1976941000006111	EMISICD10|F2068	Simple schizophrenia, other	1976941000006107	schizaphrenia
1976951000006113	EMISICD10|F2088	Other schizophrenia, other	1976951000006109	schizaphrenia
1976961000006110	EMISICD10|F2098	Schizophrenia, unspecified, other	1976961000006106	schizaphrenia
3137261000006111	^ESCTUN313726	Undifferentiated schizophrenia in remission	39610001	schizaphrenia
3862661000006112	^ESCTCH386266	Chronic schizophrenia	83746006	schizaphrenia
6890801000006117	^ESCTLA689080	Late onset schizophrenia	416340002	schizaphrenia
